ts,avail_mb,used_mb,ovms_ws_mb,python_ws_mb_total,cpu_pct
13:28:04,11444,20632,0,12942,12
13:28:09,11441,20635,0,12942,23
13:28:15,11451,20624,0,12942,18
13:28:20,11473,20602,0,12942,8
13:28:25,11466,20609,0,12942,14
13:28:31,11468,20607,0,12942,9
13:28:36,11468,20607,0,12942,11
13:28:41,11460,20615,0,12942,10
13:28:46,11472,20603,0,12942,9
13:28:52,11475,20600,0,12942,14
13:28:57,11403,20672,0,12942,17
13:29:02,11454,20622,0,12942,15
13:29:08,11463,20612,0,12942,10
13:29:13,11454,20621,0,12942,10
13:29:18,11451,20624,0,12942,15
13:29:24,11442,20633,0,12942,31
13:29:29,11406,20669,0,12942,10
13:29:34,11412,20663,0,12942,4
13:29:40,11404,20671,0,12942,7
13:29:45,11422,20653,0,12942,15
13:29:50,11437,20638,0,12942,10
13:29:56,11426,20649,0,12942,17
13:30:01,11428,20647,0,12942,34
13:30:06,11405,20670,0,12942,14
13:30:12,11429,20646,0,12942,23
13:30:17,11720,20355,0,12942,13
13:30:22,11769,20306,0,12942,20
13:30:28,11760,20315,0,12942,15
13:30:33,11764,20312,0,12942,19
13:30:38,11765,20310,0,12942,17
13:30:44,11747,20328,0,12941,22
13:30:49,11766,20309,0,12941,15
13:30:54,11763,20312,0,12941,14
13:31:00,11794,20281,0,12941,17
13:31:05,11623,20453,0,12941,52
13:31:10,11209,20866,0,12941,27
13:31:16,11110,20965,0,12941,16
13:31:21,11237,20838,0,12941,45
13:31:26,11538,20538,0,12941,45
13:31:32,11712,20363,0,12941,24
